,time_5000,time_2000,time_10000,adaptive rowing category,age,height,weight,weight_class,profile_id
53123,1464.0,534.1,2938.0,able,73,177.8,72.6,L,1374531
53124,1368.1,479.5,2853.5,able,51,175.3,99.8,H,1374557
53138,1076.9,410.7,2252.3,able,34,193.0,86.2,H,1374610
53198,1274.3,501.8,2678.5,able,61,162.6,61.2,L,1375004
53213,1152.5,433.7,2393.9,able,32,177.8,73.9,L,1375078
53216,1218.7,478.7,2606.0,able,47,180.3,68.0,L,1375090
53218,1360.9,496.8,2817.7,able,58,190.5,111.6,H,1375093
53221,1127.5,431.3,2404.2,able,48,182.9,83.9,H,1375101
53229,1139.6,436.1,2335.0,able,50,193.0,111.1,H,1375144
53247,1213.8,453.6,2454.3,able,57,180.3,68.0,L,1375292
53254,1271.6,475.5,2667.9,able,47,180.3,82.6,H,1375313
53259,1210.3,459.2,2635.7,able,31,177.8,72.6,L,1375347
53270,1303.7,498.1,2560.8,able,50,177.8,74.4,L,1375414
53271,1255.0,478.3,2681.6,able,56,177.8,82.1,H,1375417
53282,1235.3,471.3,2519.9,able,49,182.9,98.0,H,1375485
53283,1304.2,497.7,2787.2,able,49,188.0,123.4,H,1375494
53293,1100.7,408.5,2334.4,able,39,182.9,88.9,H,1375577
53296,1387.2,495.9,2612.9,able,46,180.3,82.1,H,1375604
53312,1302.0,584.8,3001.1,able,32,175.3,68.0,H,1375665
53329,1566.4,603.4,3396.0,able,70,157.5,69.9,H,1375798
53345,1226.0,488.1,2606.5,able,43,180.3,115.2,H,1375863
53356,1209.2,426.7,2430.4,able,31,177.8,78.9,H,1375968
53359,1076.9,403.2,2250.2,able,36,190.5,83.9,H,1375997
53367,1239.1,477.9,2577.8,able,40,180.3,88.5,H,1376018
53369,1156.9,445.0,2352.1,able,53,195.6,120.2,H,1376035
53374,1205.1,464.7,2637.4,able,38,185.4,106.1,H,1376053
53384,1157.0,434.0,2427.6,able,47,185.4,95.3,H,1376128
53388,1257.4,489.3,2648.5,able,60,182.9,68.9,L,1376151
53390,1693.4,733.0,3558.9,able,41,162.6,89.4,H,1376157
53409,1181.1,459.2,2506.8,able,32,172.7,72.1,L,1376292
53430,1183.1,476.6,2487.9,able,61,177.8,86.6,H,1376398
53440,1283.9,480.1,2724.7,able,30,165.1,67.1,L,1376481
53445,1138.2,428.6,2306.2,able,54,177.8,79.8,H,1376523
53453,1289.3,489.0,2674.2,able,47,188.0,99.8,H,1376614
53456,1290.6,477.9,2702.0,able,28,188.0,95.3,H,1376624
53457,1288.5,487.8,2729.2,able,57,182.9,86.2,H,1376638
53474,1186.4,471.9,2568.3,able,20,182.9,72.6,L,1376752
53477,1127.1,418.2,2293.6,able,51,185.4,115.7,H,1376766
53479,1160.8,440.0,2392.3,able,53,185.4,98.9,H,1376769
53485,1162.9,456.9,2436.0,able,59,175.3,78.0,H,1376801
53519,1129.3,417.7,2391.3,able,34,177.8,76.2,H,1376998
53528,1201.7,458.2,2503.4,able,32,175.3,67.6,L,1377049
53534,1472.6,588.5,3064.6,able,40,160.0,56.2,L,1377084
53537,1140.8,435.3,2383.3,able,37,190.5,84.8,H,1377104
53545,1379.7,506.2,2836.0,able,33,175.3,106.1,H,1377137
53565,1119.6,430.2,2339.0,able,45,167.6,80.7,H,1377262
53569,1468.7,556.0,3041.6,able,46,157.5,81.6,H,1377273
