,result_1,result_100,result_1000,result_10000,result_100000,result_2000,result_21097,result_30,result_4,result_42195,result_500,result_5000,result_60,result_6000,age,height,weight,weight_class,gender
255,,,,2841.2,,568.2,,6230.0,,,,1320.6,,,67,188.0,125.6,H,M
256,,,224.1,,,472.7,,,,,110.0,,,,68,172.7,71.7,L,M
257,,,,2642.6,,,,,,,,,,,56,,89.8,H,M
258,,,,,,,,7381.0,1102.0,,,,,,72,,73.9,L,M
259,,,,,,369.7,4474.8,8938.0,1333.0,,79.1,,17314.0,1190.0,53,,99.8,H,M
260,297.0,,216.6,2489.0,,,,7514.0,,,101.8,1188.6,,,52,188.0,77.1,H,M
261,,,,2249.7,,,,,,,,,,,62,,82.1,H,M
262,,,,2540.2,,435.4,5541.0,,,,,1297.5,,,53,180.3,73.0,L,M
263,,,,,,414.1,,,,,,1168.0,,,59,182.9,79.4,H,M
264,250.0,,277.3,3037.3,,557.3,,6063.0,,,128.1,1451.7,,1788.9,66,172.7,88.9,H,F
265,,,,,,509.5,,,,,,1296.5,,,73,,72.6,L,M
266,,19.3,212.1,2394.1,,449.1,,7675.0,,,103.4,1144.1,,1378.5,51,182.9,74.8,H,M
267,336.0,17.8,205.6,2417.1,,433.2,,7277.0,1126.0,,,1159.0,14713.0,,55,,92.5,H,M
268,,,237.6,2928.0,,,,,,,,1319.7,,,62,177.8,82.6,H,M
269,,,230.4,2508.5,,455.8,5471.1,7218.0,,,107.3,1231.5,14024.0,1455.7,64,185.4,87.1,H,M
270,,,,,,,,,,,,1345.1,,,57,188.0,106.1,H,M
271,,,,,,526.1,,,,,,1361.1,,,60,177.8,74.4,H,M
272,,,,,,,,7632.0,,,104.9,1177.9,,,62,188.0,79.4,H,M
273,,,,,,,,7209.0,,,,,,1496.9,56,,109.3,H,M
274,,,,,,,,,,,116.9,,,,71,,99.8,H,M
275,,,,,,,,7180.0,,,,,,,49,188.0,99.8,H,M
276,,,,2336.7,,,5217.5,,,,,1153.4,,,52,177.8,68.0,L,M
277,,,,2248.5,,,,8007.0,,,,1087.3,,,48,,83.9,H,M
278,300.0,,,2389.7,,457.9,5352.2,7558.0,,,,1190.5,14476.0,,61,182.9,74.8,L,M
279,,,316.9,,,,,,,,,1625.3,,1949.9,53,175.3,83.9,H,M
280,,,,,,485.1,,,,,108.4,,,,56,,82.1,H,M
281,328.0,,,2273.3,,417.6,,7874.0,,,,1102.7,15430.0,1313.3,36,,,H,M
282,,,,,,,,6224.0,,,,,,,54,177.8,72.6,H,M
283,,,,2812.2,,535.5,,,,,109.1,1289.3,13634.0,,57,,72.1,L,M
284,,,246.0,,,,,,,,,,,,78,182.9,84.8,L,M
285,,,,,,,,,,,,1125.0,,,43,,102.1,H,M
286,,,,,,,,7840.0,,,,1131.2,,,58,,96.2,H,M
287,,,,,,,,7530.0,,,,,,,46,,92.1,H,M
288,,,,3134.5,,593.4,6700.3,5868.0,,,129.5,1662.0,,,70,172.7,90.7,H,F
289,,,,,,,5755.9,6957.0,,,109.8,,,1549.6,58,,,H,F
290,359.0,15.4,193.6,,,408.5,4954.2,8198.0,1215.0,10591.0,85.5,1058.8,,1292.1,41,185.4,93.9,H,M
291,,,,,,,,,,,,1238.5,,,55,,110.2,H,M
292,,,223.5,,,,,,,,99.7,,,,62,175.3,72.6,L,M
293,318.0,,,,,,,,1133.0,,,,,,73,,74.8,L,M
294,,,,,,,,,,,,1471.5,,,67,,78.9,H,M
295,,,,2783.7,,512.5,,,,,,1364.5,,,61,182.9,106.1,H,M
296,,,227.0,2696.3,,567.4,6172.7,6674.0,,,,1308.7,13052.0,1604.8,64,177.8,93.9,H,M
297,,,,2319.8,,,5560.3,7615.0,,11453.2,,,15270.0,1377.4,48,185.4,89.8,H,M
298,332.0,16.9,204.8,2384.1,,431.2,5247.5,7629.0,1153.0,10721.0,93.8,1159.1,15015.0,1393.5,61,185.4,89.8,H,M
299,,,,,,,,5830.0,,,,,11112.0,,73,,89.8,H,M
300,,,190.3,2217.8,,399.8,4963.8,8234.0,,10114.0,89.4,1064.1,15889.0,1302.4,45,,90.7,H,M
301,,,,,,,,,,,,,11233.0,,82,,99.8,H,M
302,311.0,17.4,219.4,2554.3,,471.5,,7319.0,1081.0,,101.8,1210.8,13918.0,1466.7,59,188.0,83.0,H,M
303,,,,2784.0,,,,6967.0,,,,1277.5,,1602.2,79,,74.4,L,M
304,,,,2698.6,,,,,,,,1315.5,,,64,188.0,93.0,H,M
305,248.0,23.5,292.8,,,631.2,,5218.0,829.0,,135.5,1641.8,10235.0,2023.7,90,170.2,73.5,L,M
306,327.0,,,2338.3,,397.9,,8226.0,1116.0,,87.5,1077.2,,1359.8,41,,93.0,H,M
307,287.0,18.7,232.7,2824.7,,502.3,6338.0,6455.0,984.0,,111.8,1290.2,11993.0,1656.4,66,180.3,84.8,H,M
308,,,,3055.0,,,,6030.0,,,,,,,78,175.3,76.7,H,M
309,,,,,,,,6882.0,,,,,,,59,,,H,M
310,,,205.9,,,,,,,,96.3,1130.6,,,52,,73.9,L,M
311,,,244.4,2748.3,,507.1,,6748.0,935.0,,,1294.0,,1599.0,73,177.8,85.7,H,M
312,315.0,17.4,,,,502.0,,,,,100.9,,,,64,185.4,107.5,H,M
313,293.0,18.3,231.9,2530.6,,477.7,,,,,115.0,1228.4,,1492.8,58,,68.0,L,M
314,,,,,,583.7,,,,,131.7,,,,84,,72.1,L,M
315,,,,2980.0,,,,,,,,1454.0,11520.0,,61,180.3,83.0,L,M
316,,,200.3,2330.2,,427.4,5092.5,7910.0,,10620.3,94.4,1104.7,14807.0,,59,185.4,78.9,H,M
317,321.0,16.8,217.9,2477.5,,,,7477.0,,,98.4,1199.3,,,62,190.5,99.8,H,M
318,,,,,,394.5,,8431.0,,,,,,,51,,91.6,H,M
319,,,,2512.2,,,5368.2,,,,,,13735.0,,67,190.5,84.4,H,M
320,,,,,,,,7165.0,,,,1263.0,,,65,180.3,93.0,H,M
321,,,,,,,,6334.0,,,,,,,69,177.8,77.1,H,M
322,,,,2425.6,,,,7542.0,,,,,,,69,,82.1,H,M
323,,,,2838.3,,,,,,,,,,,48,,82.1,H,M
324,,,,2667.6,,516.0,,6754.0,,,,1376.6,,,62,182.9,122.5,H,M
325,311.0,20.1,215.0,2457.6,,449.4,,7510.0,1058.0,11644.8,104.7,1188.6,13575.0,1500.0,51,167.6,81.6,H,M
